Data__|;Data__|__Id;Data__|__CoinName;Data__|__Name;Data__|__Symbol;;Data__|__FullName;Data__|__Algorithm;Data__|__ProofType;Data__|__FullyPremined;Data__|__TotalCoinSupply;Data__|__PreMinedValue;Data__|__TotalCoinsFreeFloat;Data__|__SortOrder;Data__|__Sponsored;Type
XXX;5033;XXXCoin;XXX;XXX;;XXXCoin (XXX);Scrypt;PoW/PoS;0;50000000;N/A;N/A;244;False;
ZED;5036;ZedCoins;ZED;ZED;;ZedCoins (ZED);Scrypt;PoW;0;120000000;N/A;N/A;247;False;
EKN;5281;Elektron;EKN;EKN;;Elektron (EKN);X13;PoW/PoS;0;3000000;N/A;N/A;250;False;
XAU;5283;XauCoin;XAU;XAU;;XauCoin (XAU);SHA256;PoW;0;2100000;N/A;N/A;252;False;
TMC;5284;TimesCoin;TMC;TMC;;TimesCoin (TMC);N/A;N/A;0;16000000;N/A;N/A;253;False;
NBT;5287;NuBits;NBT;NBT;;NuBits (NBT);SHA256;PoS;0;0;N/A;N/A;256;False;
START;5289;StartCoin;START;START;;StartCoin (START);X11;PoW;1;45079785;N/A;N/A;258;False;
HUGE;5290;BigCoin;HUGE;HUGE;;BigCoin (HUGE);Blake;PoW;0;164429865;N/A;N/A;259;False;
XCP;5292;CounterParty;XCP;XCP;;CounterParty (XCP);N/A;PoW;1;2600000;N/A;N/A;261;False;
7;5294;007 coin;7;7;;007 coin (007);Scrypt;PoW;0;989800;N/A;N/A;263;False;
MONA;5296;MonaCoin;MONA;MONA;;MonaCoin (MONA);Scrypt;PoW;0;105120000;N/A;N/A;265;False;
TEK;5298;TekCoin;TEK;TEK;;TekCoin (TEK);SHA256;PoW/PoS;0;100000000;N/A;N/A;267;False;
TRON;5299;Positron;TRON;TRON;;Positron (TRON);SHA256;PoW/PoS;0;1000000;N/A;N/A;268;False;
NTRN;5301;Neutron;NTRN;NTRN;;Neutron (NTRN);SHA256;PoW/PoS;0;68000000;N/A;N/A;270;False;
SLING;5302;Sling Coin;SLING;SLING;;Sling Coin (SLING);SHA256;PoW;0;1000000;N/A;N/A;271;False;
CRAVE;5304;CraveCoin;CRAVE;CRAVE;;CraveCoin (CRAVE);Scrypt;PoW/PoS;0;0;N/A;N/A;273;False;
BLOCK;5305;BlockNet;BLOCK;BLOCK;;BlockNet (BLOCK);N/A;PoW/PoS;0;3900000;N/A;N/A;274;False;
XSI;5306;Stability Shares;XSI;XSI;;Stability Shares (XSI);Scrypt;PoW/PoS;0;15000000;N/A;N/A;275;False;
GHS;5307;Giga Hash;GHS;GHS;;Giga Hash (GHS);N/A;N/A;0;0;N/A;N/A;276;False;
BYC;5308;ByteCent;BYC;BYC;;ByteCent (BYC);N/A;PoW;0;33000000;N/A;N/A;277;False;
GEMZ;5310;Gemz Social;GEMZ;GEMZ;;Gemz Social (GEMZ);N/A;PoW;0;90000000;N/A;N/A;279;False;
